label,device_ms,ax,ay,az,gx,gy,gz,recv_unix_time
still,162487,0.0378,0.0149,-1.0505,4.688,2.844,0.062,1788095172.707
still,162506,0.0369,0.0142,-1.0532,4.750,2.938,0.500,1788095172.726
still,162509,0.0369,0.0142,-1.0532,4.750,2.938,0.438,1788095172.729
still,162512,0.0366,0.0139,-1.0522,4.688,2.938,0.438,1788095172.732
still,162516,0.0364,0.0139,-1.0508,4.531,2.906,0.406,1788095172.736
still,162520,0.0361,0.0137,-1.0498,4.438,2.844,0.375,1788095172.740
still,162525,0.0359,0.0134,-1.0496,4.406,2.750,0.312,1788095172.745
still,162529,0.0359,0.0129,-1.0500,4.438,2.688,0.156,1788095172.749
still,162534,0.0359,0.0129,-1.0513,4.500,2.688,-0.094,1788095172.753
still,162538,0.0364,0.0134,-1.0522,4.562,2.750,-0.250,1788095172.758
still,162543,0.0366,0.0137,-1.0527,4.625,2.812,-0.250,1788095172.763
still,162548,0.0369,0.0137,-1.0525,4.625,2.781,-0.062,1788095172.767
still,162552,0.0371,0.0137,-1.0522,4.625,2.719,0.188,1788095172.772
still,162557,0.0374,0.0139,-1.0520,4.594,2.625,0.344,1788095172.776
still,162561,0.0376,0.0139,-1.0520,4.594,2.562,0.438,1788095172.781
still,162566,0.0378,0.0142,-1.0518,4.562,2.531,0.438,1788095172.785
still,162570,0.0378,0.0144,-1.0515,4.531,2.562,0.469,1788095172.791
still,162575,0.0378,0.0146,-1.0513,4.438,2.594,0.469,1788095172.795
still,162579,0.0378,0.0149,-1.0510,4.312,2.656,0.438,1788095172.800
still,162584,0.0378,0.0151,-1.0508,4.188,2.719,0.344,1788095172.804
still,162588,0.0378,0.0154,-1.0505,4.125,2.781,0.188,1788095172.808
still,162593,0.0381,0.0149,-1.0505,4.156,2.812,0.094,1788095172.813
still,162597,0.0381,0.0144,-1.0508,4.250,2.812,0.062,1788095172.817
still,162602,0.0381,0.0137,-1.0510,4.375,2.781,0.031,1788095172.822
still,162606,0.0383,0.0129,-1.0510,4.469,2.750,-0.031,1788095172.827
still,162611,0.0381,0.0125,-1.0513,4.500,2.750,-0.125,1788095172.831
still,162615,0.0378,0.0125,-1.0513,4.469,2.812,-0.156,1788095172.835
still,162620,0.0376,0.0127,-1.0515,4.406,2.812,-0.125,1788095172.840
still,162624,0.0371,0.0132,-1.0518,4.375,2.750,-0.062,1788095172.845
still,162629,0.0371,0.0134,-1.0518,4.375,2.688,-0.031,1788095172.849
still,162633,0.0371,0.0137,-1.0515,4.375,2.625,-0.031,1788095172.853
still,162638,0.0374,0.0142,-1.0515,4.406,2.688,0.000,1788095172.858
still,162643,0.0376,0.0142,-1.0515,4.406,2.750,0.031,1788095172.863
still,162647,0.0376,0.0139,-1.0518,4.406,2.781,0.031,1788095172.867
still,162652,0.0376,0.0132,-1.0520,4.406,2.750,-0.031,1788095172.872
still,162656,0.0376,0.0127,-1.0520,4.438,2.719,-0.156,1788095172.877
still,162661,0.0376,0.0127,-1.0520,4.500,2.719,-0.219,1788095172.881
still,162665,0.0376,0.0129,-1.0518,4.531,2.750,-0.250,1788095172.885
still,162670,0.0378,0.0134,-1.0515,4.469,2.781,-0.281,1788095172.889
still,162675,0.0383,0.0137,-1.0513,4.375,2.781,-0.281,1788095172.894
still,162679,0.0386,0.0139,-1.0508,4.281,2.719,-0.219,1788095172.899
still,162684,0.0386,0.0139,-1.0505,4.250,2.594,-0.094,1788095172.903
still,162688,0.0383,0.0137,-1.0503,4.375,2.469,0.062,1788095172.908
still,162708,0.0366,0.0134,-1.0532,4.875,2.594,0.125,1788095172.929
still,162711,0.0371,0.0129,-1.0532,4.719,2.625,0.125,1788095172.931
still,162715,0.0376,0.0125,-1.0525,4.562,2.656,0.062,1788095172.935
still,162720,0.0378,0.0125,-1.0518,4.406,2.719,-0.031,1788095172.940
still,162725,0.0376,0.0129,-1.0513,4.312,2.781,-0.125,1788095172.945
still,162729,0.0374,0.0137,-1.0510,4.281,2.844,-0.094,1788095172.949
still,162734,0.0371,0.0139,-1.0513,4.312,2.906,0.062,1788095172.953
still,162738,0.0371,0.0139,-1.0518,4.312,2.906,0.344,1788095172.958
still,162743,0.0371,0.0134,-1.0522,4.312,2.906,0.562,1788095172.963
still,162747,0.0376,0.0132,-1.0527,4.344,2.906,0.594,1788095172.967
still,162752,0.0378,0.0132,-1.0530,4.406,2.938,0.438,1788095172.972
still,162756,0.0381,0.0134,-1.0527,4.469,2.938,0.188,1788095172.977
still,162761,0.0381,0.0137,-1.0522,4.500,2.906,0.000,1788095172.981
still,162765,0.0381,0.0139,-1.0513,4.500,2.844,-0.062,1788095172.985
still,162770,0.0376,0.0139,-1.0505,4.438,2.844,0.000,1788095172.990
still,162775,0.0371,0.0139,-1.0500,4.375,2.812,0.125,1788095172.995
still,162779,0.0369,0.0139,-1.0500,4.344,2.781,0.312,1788095172.999
still,162784,0.0369,0.0139,-1.0508,4.406,2.656,0.438,1788095173.004
still,162788,0.0371,0.0139,-1.0513,4.469,2.562,0.438,1788095173.008
still,162792,0.0376,0.0139,-1.0518,4.469,2.531,0.281,1788095173.012
still,162797,0.0381,0.0142,-1.0515,4.469,2.594,0.000,1788095173.017
still,162802,0.0378,0.0142,-1.0513,4.469,2.688,-0.250,1788095173.022
still,162806,0.0376,0.0144,-1.0510,4.469,2.844,-0.375,1788095173.026
still,162811,0.0374,0.0144,-1.0510,4.469,2.938,-0.312,1788095173.031
still,162815,0.0371,0.0146,-1.0510,4.500,2.969,-0.188,1788095173.035
still,162820,0.0374,0.0149,-1.0510,4.562,2.875,-0.094,1788095173.040
still,162824,0.0376,0.0149,-1.0510,4.562,2.750,-0.062,1788095173.044
still,162829,0.0378,0.0146,-1.0510,4.562,2.656,-0.125,1788095173.049
still,162834,0.0378,0.0146,-1.0510,4.531,2.625,-0.125,1788095173.053
still,162838,0.0376,0.0146,-1.0510,4.531,2.625,0.000,1788095173.058
still,162843,0.0374,0.0149,-1.0510,4.531,2.688,0.219,1788095173.062
still,162847,0.0371,0.0146,-1.0510,4.562,2.750,0.375,1788095173.067
still,162852,0.0366,0.0144,-1.0510,4.625,2.812,0.344,1788095173.071
still,162856,0.0364,0.0137,-1.0513,4.625,2.812,0.281,1788095173.076
still,162861,0.0364,0.0132,-1.0515,4.594,2.719,0.156,1788095173.081
still,162865,0.0369,0.0129,-1.0520,4.469,2.594,0.031,1788095173.085
still,162870,0.0374,0.0129,-1.0522,4.375,2.500,-0.125,1788095173.090
still,162875,0.0381,0.0132,-1.0522,4.406,2.469,-0.250,1788095173.095
still,162879,0.0383,0.0137,-1.0522,4.500,2.562,-0.250,1788095173.099
still,162884,0.0383,0.0139,-1.0525,4.594,2.719,-0.125,1788095173.104
still,162888,0.0381,0.0142,-1.0525,4.500,2.844,0.000,1788095173.108
still,162908,0.0374,0.0146,-1.0513,4.062,2.750,-0.250,1788095173.128
still,162911,0.0378,0.0144,-1.0510,4.250,2.719,-0.219,1788095173.131
still,162915,0.0378,0.0139,-1.0510,4.344,2.719,-0.062,1788095173.135
still,162920,0.0378,0.0132,-1.0518,4.406,2.719,0.094,1788095173.140
still,162924,0.0374,0.0129,-1.0525,4.406,2.719,0.219,1788095173.144
still,162929,0.0369,0.0129,-1.0527,4.406,2.719,0.219,1788095173.149
still,162933,0.0369,0.0132,-1.0522,4.438,2.781,0.125,1788095173.153
still,162938,0.0371,0.0134,-1.0515,4.500,2.906,0.031,1788095173.158
still,162943,0.0378,0.0134,-1.0510,4.531,3.000,0.031,1788095173.163
still,162947,0.0383,0.0134,-1.0505,4.562,3.000,0.125,1788095173.167
still,162952,0.0386,0.0137,-1.0505,4.500,2.906,0.219,1788095173.171
still,162956,0.0383,0.0142,-1.0508,4.406,2.812,0.219,1788095173.176
still,162961,0.0378,0.0144,-1.0510,4.312,2.781,0.125,1788095173.181
still,162965,0.0376,0.0144,-1.0513,4.281,2.812,0.031,1788095173.185
still,162970,0.0371,0.0139,-1.0515,4.375,2.812,-0.031,1788095173.190
still,162974,0.0366,0.0137,-1.0518,4.500,2.781,0.000,1788095173.195
still,162979,0.0366,0.0134,-1.0520,4.594,2.688,0.031,1788095173.199
still,162983,0.0366,0.0137,-1.0520,4.594,2.625,0.062,1788095173.204
still,162988,0.0364,0.0139,-1.0520,4.531,2.594,0.062,1788095173.208
